window_start,window_end,anomaly_score,anchor_period
2022-04-22 15:06:37,2022-04-22 15:36:37,0.056,baseline
2022-04-22 15:21:37,2022-04-22 15:51:37,0.0679,baseline
2022-04-24 02:36:37,2022-04-24 03:06:37,0.0775,baseline
2022-04-24 02:51:37,2022-04-24 03:21:37,0.0643,baseline
2022-04-24 08:21:37,2022-04-24 08:51:37,0.0485,baseline
2022-04-26 11:06:37,2022-04-26 11:36:37,0.0554,baseline
2022-04-26 11:21:37,2022-04-26 11:51:37,0.0671,baseline
2022-04-26 15:21:37,2022-04-26 15:51:37,0.0608,baseline
2022-04-27 11:36:37,2022-04-27 12:06:37,0.8545,baseline
2022-04-28 08:06:37,2022-04-28 08:36:37,0.0651,baseline
2022-05-01 03:06:37,2022-05-01 03:36:37,0.9516,baseline
2022-05-01 03:21:37,2022-05-01 03:51:37,0.9183,baseline
2022-05-02 10:36:37,2022-05-02 11:06:37,0.9821,baseline
2022-05-02 10:51:37,2022-05-02 11:21:37,0.9318,baseline
2022-05-04 07:36:37,2022-05-04 08:06:37,0.0771,baseline
2022-05-05 11:21:37,2022-05-05 11:51:37,0.4918,baseline
2022-05-05 11:36:37,2022-05-05 12:06:37,0.3652,baseline
2022-05-05 15:21:37,2022-05-05 15:51:37,0.0608,baseline
2022-05-06 11:21:37,2022-05-06 11:51:37,0.1519,baseline
2022-05-07 08:21:37,2022-05-07 08:51:37,0.2692,baseline
2022-05-07 08:36:37,2022-05-07 09:06:37,0.114,baseline
2022-05-08 03:51:37,2022-05-08 04:21:37,0.9212,baseline
2022-05-09 15:36:37,2022-05-09 16:06:37,0.0675,baseline
2022-05-10 11:36:37,2022-05-10 12:06:37,0.5312,baseline
2022-05-10 11:51:37,2022-05-10 12:21:37,0.255,baseline
2022-05-11 12:21:37,2022-05-11 12:51:37,0.3932,baseline
2022-05-12 12:21:37,2022-05-12 12:51:37,0.9026,baseline
2022-05-12 12:36:37,2022-05-12 13:06:37,0.7437,baseline
2022-05-13 12:51:37,2022-05-13 13:21:37,0.055,baseline
2022-05-13 13:06:37,2022-05-13 13:36:37,0.0393,baseline
2022-05-17 14:21:37,2022-05-17 14:51:37,0.0677,baseline
2022-05-17 14:36:37,2022-05-17 15:06:37,0.0613,baseline
2022-05-18 11:36:37,2022-05-18 12:06:37,0.1224,baseline
2022-05-20 12:06:37,2022-05-20 12:36:37,0.769,baseline
2022-05-20 12:21:37,2022-05-20 12:51:37,0.7259,baseline
2022-05-21 11:21:37,2022-05-21 11:51:37,0.1179,baseline
2022-05-21 12:21:37,2022-05-21 12:51:37,0.1359,baseline
2022-05-21 12:36:37,2022-05-21 13:06:37,0.066,baseline
2022-05-24 14:06:37,2022-05-24 14:36:37,0.0995,baseline
2022-05-27 10:21:37,2022-05-27 10:51:37,0.0739,baseline
2022-05-27 12:51:37,2022-05-27 13:21:37,0.328,baseline
2022-05-28 11:21:37,2022-05-28 11:51:37,0.1378,baseline
2022-05-30 12:51:37,2022-05-30 13:21:37,0.8646,baseline
2022-05-30 13:06:37,2022-05-30 13:36:37,0.104,baseline
2022-05-30 15:21:37,2022-05-30 15:51:37,0.1345,baseline
2022-05-31 13:51:37,2022-05-31 14:21:37,0.0606,baseline
2022-06-01 07:21:37,2022-06-01 07:51:37,0.0381,baseline
2022-06-01 11:36:37,2022-06-01 12:06:37,0.6435,baseline
2022-06-01 11:51:37,2022-06-01 12:21:37,0.3088,baseline
2022-06-02 05:06:37,2022-06-02 05:36:37,0.4579,baseline
2022-06-02 14:06:37,2022-06-02 14:36:37,0.7004,baseline
2022-06-03 13:06:37,2022-06-03 13:36:37,0.7595,baseline
2022-06-05 11:51:37,2022-06-05 12:21:37,0.9639,baseline
2022-06-05 12:06:37,2022-06-05 12:36:37,0.8314,baseline
2022-06-06 11:36:37,2022-06-06 12:06:37,0.2733,baseline
2022-06-06 11:51:37,2022-06-06 12:21:37,0.3614,baseline
2022-06-07 03:36:37,2022-06-07 04:06:37,0.9967,baseline
2022-06-07 03:51:37,2022-06-07 04:21:37,0.9868,baseline
2022-06-10 13:06:37,2022-06-10 13:36:37,0.1742,baseline
2022-06-10 13:21:37,2022-06-10 13:51:37,0.569,baseline
2022-06-14 12:06:37,2022-06-14 12:36:37,0.8511,baseline
2022-06-15 12:51:37,2022-06-15 13:21:37,0.8541,baseline
2022-06-15 13:06:37,2022-06-15 13:36:37,0.5207,baseline
2022-06-16 03:36:37,2022-06-16 04:06:37,0.9762,baseline
2022-06-17 04:21:37,2022-06-17 04:51:37,0.6062,baseline
2022-06-17 04:36:37,2022-06-17 05:06:37,0.5629,baseline
2022-06-21 04:36:37,2022-06-21 05:06:37,0.6023,baseline
2022-06-21 13:36:37,2022-06-21 14:06:37,0.7317,baseline
2022-06-22 02:21:37,2022-06-22 02:51:37,0.9901,baseline
2022-06-22 02:36:37,2022-06-22 03:06:37,0.9876,baseline
2022-06-22 11:36:37,2022-06-22 12:06:37,0.8928,baseline
2022-06-22 11:51:37,2022-06-22 12:21:37,0.8544,baseline
2022-06-24 04:51:37,2022-06-24 05:21:37,0.3669,baseline
2022-06-24 11:06:37,2022-06-24 11:36:37,0.9243,baseline
2022-06-25 02:06:37,2022-06-25 02:36:37,0.1877,baseline
2022-06-29 11:36:37,2022-06-29 12:06:37,0.1776,baseline
2022-06-29 11:51:37,2022-06-29 12:21:37,0.1655,baseline
2022-06-30 11:21:37,2022-06-30 11:51:37,0.2914,baseline
2022-06-30 11:36:37,2022-06-30 12:06:37,0.2133,baseline
2022-07-01 13:36:37,2022-07-01 14:06:37,0.7858,baseline
2022-07-02 09:36:37,2022-07-02 10:06:37,0.0575,baseline
2022-07-02 09:51:37,2022-07-02 10:21:37,0.0596,baseline
2022-07-03 04:06:37,2022-07-03 04:36:37,0.1043,baseline
2022-07-03 04:21:37,2022-07-03 04:51:37,0.1064,baseline
2022-07-03 10:51:37,2022-07-03 11:21:37,0.1702,baseline
2022-07-03 14:06:37,2022-07-03 14:36:37,0.0826,baseline
2022-07-04 04:06:37,2022-07-04 04:36:37,0.995,baseline
2022-07-04 04:21:37,2022-07-04 04:51:37,0.9909,baseline
2022-07-05 11:21:37,2022-07-05 11:51:37,0.9755,baseline
2022-07-05 11:36:37,2022-07-05 12:06:37,0.8825,baseline
2022-07-06 10:36:37,2022-07-06 11:06:37,0.3496,baseline
2022-07-06 10:51:37,2022-07-06 11:21:37,0.1973,baseline
2022-07-07 08:51:37,2022-07-07 09:21:37,0.2019,baseline
2022-07-07 13:06:37,2022-07-07 13:36:37,0.1197,baseline
2022-07-08 04:36:37,2022-07-08 05:06:37,0.9371,baseline
2022-07-09 04:21:37,2022-07-09 04:51:37,0.0772,baseline
2022-07-09 04:36:37,2022-07-09 05:06:37,0.0819,baseline
2022-07-09 06:21:37,2022-07-09 06:51:37,0.0566,baseline
2022-07-09 06:36:37,2022-07-09 07:06:37,0.0393,baseline
2022-07-10 10:21:37,2022-07-10 10:51:37,0.2852,baseline
2022-07-10 10:36:37,2022-07-10 11:06:37,0.202,baseline
2022-07-11 01:36:37,2022-07-11 02:06:37,0.0601,baseline
2022-07-12 08:36:37,2022-07-12 09:06:37,0.1005,baseline
2022-07-12 10:21:37,2022-07-12 10:51:37,0.0463,baseline
2022-07-13 12:21:37,2022-07-13 12:51:37,0.0789,baseline
2022-07-13 12:36:37,2022-07-13 13:06:37,0.0905,baseline
2022-07-16 05:36:37,2022-07-16 06:06:37,0.2124,baseline
2022-07-16 10:06:37,2022-07-16 10:36:37,0.3083,baseline
2022-07-20 10:36:37,2022-07-20 11:06:37,0.0658,baseline
2022-07-21 11:36:37,2022-07-21 12:06:37,0.0701,baseline
2022-07-21 11:51:37,2022-07-21 12:21:37,0.0601,baseline
2022-07-24 11:36:37,2022-07-24 12:06:37,0.073,baseline
2022-07-24 11:51:37,2022-07-24 12:21:37,0.0805,baseline
2022-07-25 02:36:37,2022-07-25 03:06:37,0.7162,baseline
2022-07-25 03:51:37,2022-07-25 04:21:37,0.7909,baseline
2022-08-02 08:21:37,2022-08-02 08:51:37,0.0275,baseline
2022-08-02 08:36:37,2022-08-02 09:06:37,0.0267,baseline
2022-08-09 13:06:37,2022-08-09 13:36:37,0.2084,baseline
2022-08-16 12:51:37,2022-08-16 13:21:37,0.1285,baseline
2022-08-16 13:06:37,2022-08-16 13:36:37,0.0818,baseline
2022-08-17 03:06:37,2022-08-17 03:36:37,0.0687,baseline
2022-08-22 11:06:37,2022-08-22 11:36:37,0.0209,baseline
2022-08-23 15:21:37,2022-08-23 15:51:37,0.3054,baseline
2022-08-23 15:36:37,2022-08-23 16:06:37,0.1759,baseline
2022-08-23 19:06:37,2022-08-23 19:36:37,0.0389,baseline
2022-08-26 08:21:37,2022-08-26 08:51:37,0.8441,baseline
2022-08-26 08:36:37,2022-08-26 09:06:37,0.5117,baseline
2022-08-29 11:06:37,2022-08-29 11:36:37,0.9356,baseline
2022-08-30 03:06:37,2022-08-30 03:36:37,0.0951,baseline
2022-08-30 13:06:37,2022-08-30 13:36:37,0.3428,baseline
2022-08-31 11:06:37,2022-08-31 11:36:37,0.0852,baseline
2022-09-01 09:36:37,2022-09-01 10:06:37,0.1584,baseline
2022-09-01 09:51:37,2022-09-01 10:21:37,0.1385,baseline
2022-09-02 23:06:37,2022-09-02 23:36:37,0.0562,baseline
2022-09-06 02:51:37,2022-09-06 03:21:37,0.2744,baseline
2022-09-06 03:06:37,2022-09-06 03:36:37,0.3372,baseline
2022-09-06 15:21:37,2022-09-06 15:51:37,0.0445,baseline
2022-09-10 11:21:37,2022-09-10 11:51:37,0.0703,baseline
2022-09-10 11:36:37,2022-09-10 12:06:37,0.0669,baseline
2022-09-11 11:21:37,2022-09-11 11:51:37,0.0552,baseline
2022-09-11 11:36:37,2022-09-11 12:06:37,0.0511,baseline
2022-09-13 15:36:37,2022-09-13 16:06:37,0.1152,baseline
2022-09-16 11:36:37,2022-09-16 12:06:37,0.2533,baseline
2022-09-17 14:51:37,2022-09-17 15:21:37,0.0884,baseline
2022-09-17 15:06:37,2022-09-17 15:36:37,0.0795,baseline
2022-09-18 08:51:37,2022-09-18 09:21:37,0.036,baseline
2022-09-18 09:06:37,2022-09-18 09:36:37,0.0412,baseline
